1|79|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '', 'drzavljanstvo': '', 'telefon': '12', 'pol': '', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_3', 'uloga': 'prodavac'}|1. red, 2. sediste|05.02.2023.|True|['12']|realizovana_karta
3|79|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '', 'drzavljanstvo': '', 'telefon': '12', 'pol': '', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_1', 'uloga': 'prodavac'}|0. red, 0. sediste|06.02.2023.|False|['12', '12(Zdenka Lom)', '12(Tom Sojer)']|nerealizovana_karta
4|23|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '', 'drzavljanstvo': '', 'telefon': '12', 'pol': '', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_2', 'uloga': 'prodavac'}|1. red, 1. sediste|06.02.2023.|False|['12']|nerealizovana_karta
5|23|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '', 'drzavljanstvo': '', 'telefon': '12', 'pol': '', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_1', 'uloga': 'prodavac'}|1. red, 2. sediste|06.02.2023.|False|['12', '12(Aca)']|realizovana_karta
6|23|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '', 'drzavljanstvo': '', 'telefon': '12', 'pol': '', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_1', 'uloga': 'prodavac'}|1. red, 2. sediste|06.02.2023.|False|['12', '12(Aca)', '12(Maca)']|nerealizovana_karta
7|78|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '123456789', 'drzavljanstvo': 'mong', 'telefon': '12', 'pol': 'mus', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_3', 'uloga': 'prodavac'}|1. red, 2. sediste|07.02.2023.|False|['12']|nerealizovana_karta
8|67|{'ime': '12', 'prezime': '12', 'korisnicko_ime': '12', 'lozinka': '12', 'email': '12@hj.jh', 'pasos': '123456789', 'drzavljanstvo': 'mong', 'telefon': '12', 'pol': 'mus', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_1', 'uloga': 'prodavac'}|1. red, 1. sediste|07.02.2023.|False|['12']|realizovana_karta
9|79|{'ime': '123', 'prezime': '123', 'korisnicko_ime': '123', 'lozinka': '123', 'email': 'asd@ghj.kjl', 'pasos': '', 'drzavljanstvo': 'srbsko', 'telefon': '12356', 'pol': 'm', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_3', 'uloga': 'prodavac'}|4. red, 6. sediste|07.02.2023.|False|['12', '12(Zdenka Lom)', '12(Tom Sojer)', '123']|realizovana_karta
10|52|{'ime': '123', 'prezime': '123', 'korisnicko_ime': '123', 'lozinka': '123', 'email': 'asd@ghj.kjl', 'pasos': '', 'drzavljanstvo': 'srbsko', 'telefon': '12356', 'pol': 'm', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_3', 'uloga': 'prodavac'}|4. red, 6. sediste|07.02.2023.|True|['123(1)']|realizovana_karta
11|21|{'ime': 'mare', 'prezime': 'care', 'korisnicko_ime': 'mare', 'lozinka': 'mare', 'email': 'm@m.m', 'pasos': '', 'drzavljanstvo': '', 'telefon': '987456', 'pol': '', 'uloga': 'korisnik'}|{'korisnicko_ime': 'prodavac_3', 'uloga': 'prodavac'}|1. red, 3. sediste|08.02.2023.|False|['mare']|nerealizovana_karta
